Transaction ID,Customer ID,Date,Product Category,Quantity,Price Per Unit,Payment Method,Store Location,Discount Applied,Age,Gender,Total Amount
T101902,C1153,2025-01-01 11:00:00,Electronics,4,76.63,Credit Card,Strasbourg,No,43,Female,306.52
T101091,C1097,2025-01-01 14:00:00,Electronics,5,421.51,Debit Card,Montpellier,No,19,Male,2107.55
T100267,C1267,2025-01-01 21:00:00,Home Decor,9,23.99,Cash,Toulouse,Yes,31,Male,215.91
T100181,C1282,2025-01-02 00:00:00,Home Decor,3,166.08,Cash,Nice,No,73,Other,498.24
T101992,C1422,2025-01-02 00:00:00,Groceries,8,370.7,Digital Wallet,Toulouse,No,30,Female,2965.6
T100966,C1144,2025-01-02 05:00:00,Clothing,8,408.94,Cash,Paris,No,24,Other,3271.52
T100369,C1232,2025-01-02 16:00:00,Groceries,6,374.43,Cash,Toulouse,Yes,68,Female,2246.58
T101885,C1068,2025-01-02 21:00:00,Beauty,6,308.02,Cash,Paris,No,24,Other,1848.12
T100749,C1176,2025-01-02 21:00:00,Electronics,4,33.28,Digital Wallet,Nantes,No,58,Female,133.12
T100246,C1136,2025-01-02 22:00:00,Groceries,7,270.52,Digital Wallet,Montpellier,Yes,23,Male,1893.64
T100629,C1246,2025-01-03 00:00:00,Beauty,5,438.9,Cash,Nice,No,50,Other,2194.5
T100204,C1028,2025-01-03 08:00:00,Groceries,3,91.98,Cash,Lyon,No,68,Female,275.94
T100024,C1491,2025-01-03 12:00:00,Home Decor,5,473.98,Debit Card,Nantes,Yes,58,Female,2369.9
T101545,C1495,2025-01-03 13:00:00,Clothing,4,55.01,Cash,Marseille,No,38,Female,220.04
T100443,C1366,2025-01-03 15:00:00,Groceries,4,104.08,Debit Card,Nice,No,70,Male,416.32
T101366,C1167,2025-01-03 18:00:00,Clothing,8,199.62,Debit Card,Toulouse,No,44,Male,1596.96
T100658,C1253,2025-01-03 23:00:00,Electronics,9,9.55,Digital Wallet,Toulouse,No,37,Female,85.95
T101353,C1332,2025-01-04 02:00:00,Home Decor,6,298.88,Debit Card,Lyon,No,37,Other,1793.28
T100657,C1288,2025-01-04 13:00:00,Clothing,2,103.07,Credit Card,Lyon,Yes,73,Male,206.14
T100835,C1229,2025-01-04 14:00:00,Clothing,5,486.66,Digital Wallet,Lyon,Yes,25,Female,2433.3
T101815,C1292,2025-01-04 17:00:00,Groceries,3,331.18,Cash,Paris,No,37,Male,993.54
T100007,C1020,2025-01-04 21:00:00,Electronics,2,89.53,Cash,Strasbourg,No,60,Other,179.06
T100424,C1370,2025-01-05 11:00:00,Beauty,4,451.08,Digital Wallet,Lyon,No,26,Female,1804.32
T100300,C1183,2025-01-05 14:00:00,Groceries,8,280.63,Debit Card,Toulouse,No,65,Other,2245.04
T101051,C1347,2025-01-05 16:00:00,Clothing,4,430.63,Debit Card,Strasbourg,No,38,Male,1722.52
T100499,C1150,2025-01-05 18:00:00,Beauty,3,180.87,Debit Card,Lyon,No,63,Female,542.61
T100447,C1316,2025-01-05 19:00:00,Home Decor,3,77.99,Debit Card,Strasbourg,No,45,Male,233.97
T101261,C1033,2025-01-05 19:00:00,Beauty,8,130.07,Debit Card,Montpellier,Yes,71,Male,1040.56
T101455,C1390,2025-01-06 04:00:00,Groceries,2,440.81,Digital Wallet,Marseille,No,47,Female,881.62
T101272,C1179,2025-01-06 07:00:00,Home Decor,6,47.17,Digital Wallet,Lyon,Yes,70,Female,283.02
T101570,C1345,2025-01-06 18:00:00,Groceries,5,474.13,Cash,Nice,No,46,Male,2370.65
T101929,C1043,2025-01-06 18:00:00,Groceries,1,137.94,Debit Card,Strasbourg,No,32,Other,137.94
T100989,C1241,2025-01-07 03:00:00,Groceries,9,107.6,Credit Card,Nantes,No,67,Other,968.4
T100723,C1092,2025-01-07 05:00:00,Groceries,5,432.43,Cash,Toulouse,Yes,50,Other,2162.15
T100122,C1187,2025-01-07 10:00:00,Electronics,4,111.21,Debit Card,Marseille,No,27,Male,444.84
T101780,C1341,2025-01-07 15:00:00,Home Decor,1,10.64,Cash,Marseille,No,50,Male,10.64
T101489,C1396,2025-01-07 16:00:00,Home Decor,5,10.97,Cash,Marseille,No,54,Other,54.85
T101612,C1250,2025-01-07 16:00:00,Electronics,3,295.16,Digital Wallet,Toulouse,No,36,Female,885.48
T100517,C1025,2025-01-07 21:00:00,Clothing,1,465.76,Debit Card,Montpellier,No,24,Female,465.76
T101294,C1317,2025-01-08 03:00:00,Electronics,7,89.22,Cash,Paris,No,23,Other,624.54
T100791,C1205,2025-01-08 04:00:00,Groceries,6,140.21,Debit Card,Montpellier,Yes,37,Male,841.26
T101674,C1112,2025-01-08 07:00:00,Groceries,2,189.92,Debit Card,Toulouse,No,35,Female,379.84
T100558,C1325,2025-01-08 12:00:00,Beauty,2,198.81,Credit Card,Marseille,No,38,Male,397.62
